what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1272438252509
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1272438252509
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1272438252509
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1272438252509
os,sysinfo,,,"win32",1272438252525
arch,sysinfo,,,"x86",1272438252525
ws,sysinfo,,,"win32",1272438252525
locale,sysinfo,,,"zh_CN",1272438252525
processors,sysinfo,,,"2",1272438252525
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1272438252525
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1272438252525
java.specification.name,sysinfo,,,"Java Platform API Specification",1272438252525
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272438252525
java.specification.version,sysinfo,,,"1.6",1272438252525
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1272438252525
java.version,sysinfo,,,"1.6.0_16",1272438252525
java.vm.info,sysinfo,,,"mixed mode, sharing",1272438252525
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1272438252525
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1272438252525
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272438252525
java.vm.specification.version,sysinfo,,,"1.0",1272438252525
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1272438252525
java.vm.version,sysinfo,,,"14.2-b01",1272438252525
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1272438253572
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272438255837
